date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:05:23	62046/62046	---M--	200	added ('OK')	image/jpeg	etag:%2268647179951204ae5e74bda20053a56a%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image6a_2_grande.jpeg?v=1380638349	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image6a_2_granded5ae.jpg	(from https://envy-stockholm.myshopify.com/products/emporio-armani-rubber-watch)
00:05:23	143973/143973	---M--	200	added ('OK')	image/jpeg	etag:%2268647179951204ae5e74bda20053a56a%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image6a_2.jpeg?v=1380638349	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image6a_2d5ae.jpg	(from https://envy-stockholm.myshopify.com/products/emporio-armani-rubber-watch)
00:05:23	143967/143967	---M--	200	added ('OK')	image/jpeg	etag:%2268647179951204ae5e74bda20053a56a%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image6a_2_1024x1024.jpeg?v=1380638349	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image6a_2_1024x1024d5ae.jpg	(from https://envy-stockholm.myshopify.com/products/emporio-armani-rubber-watch)
00:05:24	623/623	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2006%20Oct%202015%2016:05:24%20GMT	http://pinterest.com/pin/create/button/?url=http://envy-stockholm.myshopify.com/products/emporio-armani-rubber-watch&media=//cdn.shopify.com/s/files/1/0271/9799/products/image6a_2_1024x1024.jpeg?v=1380638349&description=Emporio%20Armani%20Rubber%20Watch	D:/Dropbox/themeforest/envy/pinterest.com/pin/create/button/index2f4b.html	(from https://envy-stockholm.myshopify.com/products/emporio-armani-rubber-watch)
00:05:24	775/775	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:74409a984e1b86b9d979690a38ca2a64	http://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover.oembed	D:/Dropbox/themeforest/envy/envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover.oembed	(from https://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover)
00:05:27	158720/158720	---M--	200	added ('OK')	image/jpeg	etag:%222035979874f587792f81f4d2a9dad362%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image6b_1_1024x1024.jpeg?v=1380638349	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image6b_1_1024x1024d5ae.jpg	(from https://envy-stockholm.myshopify.com/products/emporio-armani-rubber-watch)
00:05:29	5824/5824	---M--	200	added ('OK')	image/jpeg	etag:%2241b1ab19cfd09225fb5c47ecfbb236f4%22	http://cdn.shopify.com/s/files/1/0271/9799/products/9a_compact.jpeg?v=1380638361	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/9a_compactf6d0.jpg	(from https://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover)
00:05:33	69151/69151	---M--	200	added ('OK')	image/jpeg	etag:%222035979874f587792f81f4d2a9dad362%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image6b_1_grande.jpeg?v=1380638349	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image6b_1_granded5ae.jpg	(from https://envy-stockholm.myshopify.com/products/emporio-armani-rubber-watch)
00:05:34	3983/3983	---M--	200	added ('OK')	image/jpeg	etag:%228ccf0f4badeae02d09e012d12f51d008%22	http://cdn.shopify.com/s/files/1/0271/9799/products/9b_compact.jpeg?v=1380638361	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/9b_compactf6d0.jpg	(from https://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover)
00:05:39	85567/85567	---M--	200	added ('OK')	image/jpeg	etag:%2241b1ab19cfd09225fb5c47ecfbb236f4%22	http://cdn.shopify.com/s/files/1/0271/9799/products/9a_1024x1024.jpeg?v=1380638361	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/9a_1024x1024f6d0.jpg	(from https://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover)
